"Keyword","SERP Position","Avg. Search Volume (Last 12 months)","Estimated Visits","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"paginas web servicios",2,90,14,"Spain","6.68",43,13,"","CORPORATE_BLOG_POSTS","navigational, informational","Missing words in title","People Also Ask","",10,10,10,0,0,10,10,10,10,10,10,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",40,20,10,30,20,20,20,20,30,40,20,30,"","","","",30,30,20,40,70,40,40,50,40,90,70,50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,170,170,210,110,50,30,20,320,20,20,20
"servicio paginas web",2,90,14,"Spain","6.68",43,,"","","","","","10",10,10,0,10,10,10,0,10,10,10,10,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",40,20,10,30,20,20,20,20,30,40,20,30,"20","30","40","40",30,30,20,40,70,40,40,50,40,90,70,50,"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,170,170,210,110,50,30,20,320,20,20,20
"empresa de paginas web",3,320,31,"Spain","11.63",36,18,"-32","LISTICLES, HOMEPAGES","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","140","90","140","210","170","140","260","170","210","170","140","90","90","110","140","140","210","140","170","140","110","140","90","170","140","140","210","320","320","320","210","390","590","390","320","260","210","260","320","260","260","260",260,480,590,480,390,260,140,110,880,210,210,110
"servicio pagina web",3,90,8,"Spain","6.68",43,,"-54","","","","","10",0,0,0,10,10,10,10,10,10,10,10,,"","","","","","","","","20","20","20","20","20","10","10","20","20","10","30","40","10","20","20","20","20","20","30","20","20","30","20","20","20",40,20,10,30,20,20,20,20,30,40,20,320,"320","590","480","480",390,480,20,30,50,30,40,50,30,70,50,50,"30","20","20","20","10","20","20","30","40","30","30","30","50","20","10","30","40","50","30","40","50","40","20","50","40","30","40","50","50","70","70","40","40","70","50","50","30","30","30","30","30","50","50",50,170,170,210,110,50,30,20,320,20,20,20
"servicio de diseño web",4,170,11,"Spain","5.98",56,40,"-44","","","","","",,,,,,,,,,,,,"","","","10","10","10","10","10","10","10","20","10","10","10","10","","10","30","10","10","20","30","20","20","10","10","20","10","20","10","10","30","20",30,10,30,70,10,20,20,20,30,20,10,20,"30","20","30","30",30,30,30,50,70,40,20,90,20,20,30,30,"30","20","40","30","30","50","30","30","20","30","30","40","30","50","50","40","50","50","50","50","40","50","50","90","50","70","70","70","70","50","50","70","90","50","90","70","90","70","90","90","90","70","110",90,260,260,320,210,260,140,50,260,70,50,30
"servicios de diseño web",5,170,7,"Spain","5.98",56,15,"-44","HOMEPAGES","","Missing words in title","","",,,,20,20,10,20,10,10,10,10,10,"10","30","10","10","10","10","10","10","10","10","20","10","10","10","10","20","10","30","10","10","20","30","20","20","10","10","20","","","","","30","20",30,10,30,70,10,20,20,20,30,20,10,20,"30","20","30","30",30,30,30,50,70,40,20,90,20,20,30,30,"30","20","40","30","30","50","30","30","20","30","30","40","30","50","50","40","50","50","50","50","40","50","50","90","50","70","70","70","70","50","50","70","90","50","90","70","90","70","90","90","90","70","110",90,260,260,320,210,260,140,50,260,70,50,30
"empresa creacion paginas web",6,110,3,"Spain","10.74",37,19,"-30","HOMEPAGES, LISTICLES","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,110,170,110,170,140,140,140,140,"110","140","110","170","170","140","70","140","110","140","110","90","70","40","50","90","90","170","90","140","110","110","90","140","90","140","70","140","140","110","140","140","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"empresa de páginas web",6,320,10,"Spain","11.63",36,,"-32","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","390","590","390","320","260","210","260","320","260","260","260",260,480,590,480,390,260,140,110,880,210,210,110
"empresas que crean páginas web",6,110,3,"Spain","10.74",37,,"-30","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"empresas creacion paginas web",7,110,2,"Spain","10.74",37,23,"-30","LISTICLES, HOMEPAGES","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,140,140,140,140,"110","140","110","170","170","140","70","140","110","140","110","90","70","40","50","90","90","170","90","140","110","110","90","140","90","140","70","140","140","110","140","140","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"servicio diseño web",7,210,5,"Spain","2.87",9,18,"-34","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,40,70,70,70,"90","70","50","50","70","90","40","50","50","50","40","70","70","30","50","40","40","50","50","50","50","90","70","110","70","50","50","110","90","110","140","110","90","110","140","110","110","110","110","90","110","90","210",170,320,390,480,320,210,70,70,320,90,110,70
"contratar página web",8,20,0,"Spain","11.01",20,15,"-50","","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,70,70,50,50,50,40,50,40,40,40,40,"30","70","90","50",30,20,20,50,40,50,20,90,40,40,40,30,"50","20","40","30","40","50","30","40","40","50","30","30","30","30","40","20","40","40","30","90","50","40","40","50","70","40","30","40","50","50","50","40","40","40","50","30","40","20","30","30","30","20","10",10,40,30,40,10,20,10,10,10,10,10,10
"contratar una pagina web",8,20,0,"Spain","11.01",20,,"","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,50,50,40,50,70,70,50,50,"50","90","110","70",40,40,40,70,70,90,40,90,50,50,50,50,"70","30","50","40","50","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,40,30,40,10,20,10,10,10,10,10,10
"diseño web servicio",8,210,4,"Spain","2.87",9,32,"-34","","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,70,70,"90","70","50","50","70","90","40","50","50","50","40","70","70","30","50","40","40","50","50","50","50","90","70","110","70","50","50","110","90","110","140","110","90","110","140","110","110","110","110","90","110","90","210",170,320,390,480,320,210,70,70,320,90,110,70
"diseño web servicios",8,210,4,"Spain","2.87",9,23,"-34","","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","90","110","140","110","110","110","110","90","110","90","210",170,320,390,480,320,210,70,70,320,90,110,70
"empresa creacion pagina web",8,110,2,"Spain","10.74",37,,"-30","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","110","140","140","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"empresa páginas web",8,260,5,"Spain","15.27",33,29,"-26","HOMEPAGES, LISTICLES","","Missing words in title","Map Pack","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","320","320","320","320","320","390","320","210","210","260","210","","260",260,320,390,390,390,320,170,110,390,210,170,140
"contratar pagina web",9,110,1,"Spain","6.81",95,14,"","","","Missing words in title","","",,,,,,20,10,10,30,20,20,30,"20","20","20","10","20","20","","","","","","","","","","","50","40","70","30","70","30","50","50","50","50","30","50","40","50","40","50","50",50,70,70,50,50,50,40,50,40,40,40,40,"30","70","90","50",30,20,20,50,40,50,20,90,40,40,40,30,"50","20","40","30","40","50","30","40","40","50","30","30","30","30","40","20","40","40","30","90","50","40","40","50","70","40","30","40","50","50","50","40","40","40","50","30","40","20","","","","","",70,170,210,170,90,50,20,20,320,70,40,10
"empresas crear pagina web",9,110,1,"Spain","10.74",37,,"-30","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"empresas de páginas web",9,320,4,"Spain","11.63",36,18,"-32","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,140,260,320,210,"170","140","90","140","210","170","140","260","170","210","170","140","90","90","110","140","140","210","140","170","140","110","140","90","170","140","140","210","320","320","320","210","390","590","390","320","260","210","260","320","260","260","260",260,480,590,480,390,260,140,110,880,210,210,110
"creacion de paginas web",10,880,9,"Spain","9.57",60,62,"-27","","","Missing words in title","AI Overview, People Also Ask","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,1000,1000,880,880,1000,880,880,"720","720","720","880","880","880","720","880","1000","880","720","880","720","480","720","880","880","880","590","880","1000","880","880","1000","720","590","720","880","1000","1000","1000","1000","1000","1000","1000","1000","720","590","590","720","720","880","720",880,1000,1300,1300,1000,880,720,480,1300,720,590,390
"empresa pagina web",10,260,2,"Spain","15.27",33,25,"-24","HOMEPAGES","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,320,480,"320","590","170","320","320","260","210","260","390","260","170","210","170","170","260","210","210","210","170","260","320","260","170","210","210","140","140","260","320","320","320","320","320","320","320","390","320","210","210","260","210","210","260",260,320,390,390,390,320,170,110,390,210,170,140
"empresa que crea paginas web",13,110,0,"Spain","10.74",37,14,"-42","HOMEPAGES","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","110","140","140","110","70","40","50","90","90","170","90","140","","","","","","","","","","","","","","","","","","","","","","","110",140,110,210,170,140,110,70,40,260,90,50,50
"empresa crear pagina web",14,110,0,"Spain","10.74",37,36,"-30","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,110,170,110,170,140,140,140,140,"110","140","110","170","170","140","70","140","110","140","110","90","70","40","50","90","90","170","90","140","110","110","90","140","90","140","70","140","140","110","140","140","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"empresas que crean paginas web",15,110,0,"Spain","10.74",37,22,"-30","LISTICLES","","Missing words in title","Featured Snippet","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,70,90,110,50,50,40,170,70,110,50,90,"90","50","140","140",90,90,170,110,110,170,110,170,140,140,140,140,"110","140","110","170","170","140","70","140","110","140","110","90","70","40","50","90","90","170","90","140","110","110","90","140","90","140","70","140","140","110","140","140","170","140","110","90","110","70","70","110","70","90","110",140,110,210,170,140,110,70,40,260,90,50,50
"creacion pagina web",22,720,1,"Spain","8.59",55,50,"-37","CORPORATE_BLOG_POSTS","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,480,590,720,880,590,880,"720","720","1000","880",720,590,480,590,720,720,590,720,590,720,720,720,"590","590","590","720","720","720","590","720","880","720","590","720","590","480","590","720","720","720","480","720","720","720","720","720","590","480","590","720","880","880","720","880","880","880","880","880","720","480","480","590","720","720","880",880,880,1300,1000,1000,720,590,480,1000,590,480,390
"creadores de páginas web",22,1300,2,"Spain","6.69",72,,"-28","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1300","1900","1900","1900","1900","1900","1300","880","1000","1300","1600","","",1600,1600,1600,1900,1900,1300,880,720,1300,1600,1000,880
"creacion web",27,320,0,"Spain","8.59",54,47,"-4","HOMEPAGES, MEDIA_BLOGS","","Missing words in title","Map Pack","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,390,210,320,210,210,"260","260","320","260","320","210","210","210","210","210","170","170","140","90","170","170","170","170","170","170","210","210","170","210","210","320","140","260","320","210","480","390","480","480","880","1000","480","320","260","320","320","260","260",390,390,390,480,390,260,170,170,590,390,210,210
"empresas de pagina web",39,320,0,"Spain","11.63",36,,"-32","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","140","90","140","210","170","140","260","170","210","170","140","90","90","110","140","140","210","140","170","140","110","140","90","170","140","140","210","320","320","320","210","390","590","390","320","260","210","260","320","260","260","260",260,480,590,480,390,260,140,110,880,210,210,110
"empresas de diseño de página web",53,210,0,"Spain","",46,,"-46","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,90,70,"70","50","70","110","90","70","140","50","70","70","40","70","70","30","70","90","50","70","50","110","90","70","50","70","50","50","40","140","170","170","170","90","110","140","140","110","90","90","90","70","70","70","140",140,260,320,320,260,170,40,50,880,110,30,10
"servicios en una pagina web",54,90,0,"Spain","6.68",43,,"","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,30,20,20,20,20,30,40,20,30,"20","30","40","40",30,30,20,40,70,40,40,50,40,90,70,50,"30","30","30","30","20","20","20","30","40","30","30","30","50","20","10","30","40","50","30","40","50","40","20","","","","","","","","","","","","","","","","","","","","",50,170,170,210,110,50,30,20,320,20,20,20
"creacion de una web",60,110,0,"Spain","6.31",68,,"48","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,140,170,110,140,110,"90","70","70","110","90","110","70","110","90","90","70","90","110","50","50","90","110","110","90","110","90","140","110","110","90","90","70","110","140","110","110","170","170","140","170","170","110","70","70","90","110","110","90",110,110,110,140,170,110,70,50,70,210,140,110
"creador páginas web",74,4400,9,"Spain","7.12",80,,"","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6600,5400,6600,5400,5400,4400,3600,2900,4400,4400,4400,3600
"creación de sitio web",77,110,0,"Spain","3.72",36,38,"","CORPORATE_BLOG_POSTS","","Missing words in title","Featured Snippet","",0,0,10,0,10,0,0,0,10,10,10,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30,70,70,70,90,70,50,90,90,70,50,20,"20","30","30","20",20,20,20,10,50,30,10,30,20,20,20,30,"20","10","20","10","20","30","30","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",170,90,110,170,210,170,110,110,90,70,70,30
"creador de paginas web profesional",81,260,0,"Spain","11.29",54,35,"-10","HOMEPAGES","","Missing words in title","Featured Snippet","",,,,,,,,10,20,10,10,10,"20","40","50","30","50","70","70","50","40","50","70","","","","","","","","","","","","","70","70","70","40","40","40","50","90","50","70",70,50,50,30,20,30,20,40,50,50,40,50,"40","50","70","90",70,90,70,110,110,140,140,140,170,140,140,140,"110","110","90","140","140","70","110","110","110","110","70","70","50","40","90","110","90","70","70","140","110","110","","","","","","","","","","","","","","","","","","","","","170",260,210,390,480,320,260,140,140,590,210,140,110
"empresas de diseño de paginas web",92,210,0,"Spain","",46,23,"-46","HOMEPAGES","","Missing words in title","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","",,,,,,,,,50,90,90,70,"70","50","70","110","90","70","140","50","70","70","40","70","70","30","70","90","50","70","50","110","90","70","50","70","50","50","40","140","170","170","170","90","110","140","140","110","90","90","90","70","70","70","140",140,260,320,320,260,170,40,50,880,110,30,10
"paginas web a medida",94,260,0,"Spain","14.03",10,16,"44","HOMEPAGES","","Missing words in title","People Also Ask","",,,,,,,,40,70,70,70,50,"50","40","50","50","50","70","30","70","30","30","50","20","50","30","20","20","20","20","40","50","20","40","30","170","390","260","260","210","260","260","260","210","210",210,320,260,260,260,260,170,170,260,260,70,90,"90","70","110","110",90,90,210,170,210,170,170,260,210,170,170,210,"90","110","90","70","110","140","90","70","70","140","50","50","50","50","90","70","40","50","40","50","50","70","50","70","70","70","70","90","90","110","70","90","110","110","90","90","90","70","70","90","90","70","110",110,390,480,480,320,110,70,90,720,170,110,110
"diseño y mantenimiento web",95,110,0,"Spain","8.17",20,12,"83","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","10","10","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,20,10,10,10,10,10,20,20,10,10,30,"10","10","10","10",10,10,10,10,10,10,10,20,10,20,20,20,"10","20","50","140","50","90","30","30","50","30","10","10","10","10","20","20","20","20","20","20","30","40","20","20","20","20","10","40","50","70","70","70","70","70","70","70","40","40","40","40","10","20","30",40,210,210,170,90,110,50,40,390,50,30,30
"diseño paginas web profesionales",99,140,0,"Spain","10.40",12,26,"","HOMEPAGES","","Missing words in title","Map Pack","",10,10,10,10,10,10,10,10,10,0,10,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,70,50,40,90,40,70,50,40,70,40,70,"90","50","90","90",90,70,90,90,90,170,140,170,170,320,320,170,"90","90","40","50","50","50","40","30","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,210,210,260,110,50,30,20,480,50,40,30